날짜,연월,거래처,품목,수량(kg),매출액(원),수량
2026-03-25,2026-03,스페이스코르 목동,DOZE 다크,1.0,25000,
2026-03-25,2026-03,스페이스코르 목동,DOZE 다크,1.0,25000,
2026-03-25,2026-03,스페이스코르 목동,DOZE 다크,1.0,25000,
2026-03-25,2026-03,춘천 훗,WAKE,1.0,23000,
2026-03-25,2026-03,춘천 훗,MUTE,1.0,32000,
2026-03-25,2026-03,춘천 훗,WAKE,1.0,23000,
2026-03-25,2026-03,춘천 훗,MUTE,1.0,32000,
2026-03-25,2026-03,춘천 훗,WAKE,1.0,23000,
2026-03-25,2026-03,춘천 훗,MUTE,1.0,32000,
2026-03-25,2026-03,춘천 훗,WAKE,1.0,23000,
2026-03-25,2026-03,춘천 훗,MUTE,1.0,32000,
2026-03-25,2026-03,춘천 훗,WAKE,1.0,23000,
2026-03-25,2026-03,춘천 훗,MUTE,1.0,32000,
2026-03-25,2026-03,춘천 훗,WAKE,1.0,23000,
2026-03-25,2026-03,춘천 훗,MUTE,1.0,32000,
2026-03-25,2026-03,춘천 훗,WAKE,1.0,23000,
2026-03-25,2026-03,춘천 훗,MUTE,1.0,32000,
2026-03-25,2026-03,춘천 훗,WAKE,1.0,23000,
2026-03-25,2026-03,춘천 훗,MUTE,1.0,32000,
2026-03-25,2026-03,춘천 훗,WAKE,1.0,25300,
2026-03-25,2026-03,춘천 훗,MUTE,1.0,35200,
2026-03-25,2026-03,춘천 훗,WAKE,1.0,23000,
2026-03-25,2026-03,춘천 훗,MUTE,1.0,32000,
2026-03-25,2026-03,춘천 훗,WAKE,2.0,46000,
2026-03-25,2026-03,춘천 훗,MUTE,2.0,64000,
